gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
RAB30-AS1,2.1575E-91,0.331006396,0.179,0.003,7.84985E-87,Prefrontal cortex
AL158071.4,2.66954E-91,0.330265013,0.179,0.003,9.71284E-87,Prefrontal cortex
LINC00513,2.87687E-91,0.30967861,0.179,0.003,1.04672E-86,Prefrontal cortex
LINC00882,3.04721E-91,0.338086427,0.179,0.003,1.1087E-86,Prefrontal cortex
CPLANE1,3.59113E-91,0.382700596,0.197,0.004,1.3066E-86,Prefrontal cortex
ALOX12-AS1,3.87967E-91,0.320688214,0.179,0.003,1.41158E-86,Prefrontal cortex
FP700111.1,6.5004E-91,0.31404047,0.188,0.003,2.36511E-86,Prefrontal cortex
UPF3B,1.08683E-89,0.247745867,0.145,0.001,3.95432E-85,Prefrontal cortex
LINC02241,1.10197E-89,0.276724354,0.145,0.001,4.00941E-85,Prefrontal cortex
SMC1A,1.23094E-89,0.246250861,0.145,0.001,4.47865E-85,Prefrontal cortex
ATP6AP2,1.51325E-89,0.280757295,0.162,0.002,5.50582E-85,Prefrontal cortex
EIF1AX,1.07699E-88,0.29189411,0.171,0.003,3.91852E-84,Prefrontal cortex
PHF6,4.22461E-88,0.250272198,0.137,0.001,1.53708E-83,Prefrontal cortex
HIKESHI,4.28593E-88,0.228849373,0.137,0.001,1.55939E-83,Prefrontal cortex
VPS26C,5.02198E-88,0.231856646,0.137,0.001,1.8272E-83,Prefrontal cortex
CD163,1.40432E-87,0.648845236,0.316,0.017,5.10949E-83,Prefrontal cortex
STMP1,3.05301E-87,0.237020155,0.154,0.002,1.11081E-82,Prefrontal cortex
RTF2,7.70816E-87,0.230221467,0.128,0.001,2.80454E-82,Prefrontal cortex
PTPA,7.9448E-87,0.238996813,0.128,0.001,2.89064E-82,Prefrontal cortex
ARMH1,8.83159E-87,0.25026162,0.128,0.001,3.21329E-82,Prefrontal cortex
USP9Y,1.17427E-86,0.387385063,0.205,0.005,4.27245E-82,Prefrontal cortex
LINC00278,2.93574E-86,0.42957825,0.222,0.007,1.06814E-81,Prefrontal cortex
MS4A6A,3.81367E-86,0.774532804,0.47,0.042,1.38757E-81,Prefrontal cortex
SNHG9,4.12689E-86,0.286163183,0.12,0,1.50153E-81,Prefrontal cortex
KMT2E-AS1,4.26128E-86,0.234217419,0.12,0,1.55042E-81,Prefrontal cortex
FAM50A,4.40003E-86,0.236867232,0.12,0,1.60091E-81,Prefrontal cortex
FAM122B,4.47109E-86,0.203185225,0.12,0,1.62676E-81,Prefrontal cortex
AC004687.1,4.6912E-86,0.257535708,0.12,0,1.70685E-81,Prefrontal cortex
AC009948.1,5.35409E-86,0.209506343,0.111,0,1.94803E-81,Prefrontal cortex
AL078639.1,5.35409E-86,0.243153586,0.111,0,1.94803E-81,Prefrontal cortex
FIRRE,5.35409E-86,0.213714591,0.111,0,1.94803E-81,Prefrontal cortex
UFD1,5.35409E-86,0.210585242,0.111,0,1.94803E-81,Prefrontal cortex
AC078881.1,9.72256E-86,0.347451698,0.171,0.003,3.53746E-81,Prefrontal cortex
SLC16A1-AS1,9.96425E-86,0.371298774,0.188,0.004,3.62539E-81,Prefrontal cortex
MORF4L2,1.26155E-85,0.31567916,0.171,0.003,4.59001E-81,Prefrontal cortex
OTUD5,2.28172E-85,0.276939422,0.145,0.001,8.30182E-81,Prefrontal cortex
TMEM267,2.74418E-85,0.224741525,0.145,0.001,9.98441E-81,Prefrontal cortex
AC010894.3,8.2287E-84,0.277205609,0.154,0.002,2.99393E-79,Prefrontal cortex
AL513327.1,1.03862E-83,0.254587802,0.154,0.002,3.7789E-79,Prefrontal cortex
BCLAF3,1.05142E-83,0.259805623,0.154,0.002,3.82548E-79,Prefrontal cortex
RPLP1,1.14931E-83,0.619657113,0.342,0.021,4.18165E-79,Prefrontal cortex
MCRIP1,1.87176E-83,0.264249763,0.137,0.001,6.8102E-79,Prefrontal cortex
OTUD6B-AS1,1.89751E-83,0.260115215,0.137,0.001,6.90389E-79,Prefrontal cortex
FGD5-AS1,2.70659E-83,0.229199563,0.137,0.001,9.84766E-79,Prefrontal cortex
AL354809.1,6.76897E-83,0.307485177,0.162,0.003,2.46282E-78,Prefrontal cortex
XACT,1.40462E-82,0.464840487,0.171,0.003,5.11056E-78,Prefrontal cortex
TRIR,9.96751E-82,0.207767545,0.128,0.001,3.62658E-77,Prefrontal cortex
SLC6A8,1.01106E-81,0.235156155,0.128,0.001,3.67863E-77,Prefrontal cortex
LINC01135,1.02556E-81,0.212324059,0.128,0.001,3.73142E-77,Prefrontal cortex
AP002336.2,1.13311E-81,0.219687462,0.128,0.001,4.12271E-77,Prefrontal cortex
AC004158.1,1.60708E-81,0.273763046,0.145,0.002,5.84721E-77,Prefrontal cortex
TMEM94,1.86931E-81,0.261987713,0.145,0.002,6.80128E-77,Prefrontal cortex
HDHD5,2.6928E-81,0.21613893,0.145,0.002,9.79747E-77,Prefrontal cortex
LINC00844,1.89395E-80,0.253606524,0.12,0.001,6.89095E-76,Prefrontal cortex
AKAP17A,1.95158E-80,0.21510524,0.12,0.001,7.10064E-76,Prefrontal cortex
SLC25A6,2.01096E-80,0.231840435,0.12,0.001,7.31669E-76,Prefrontal cortex
TBC1D8B,2.16742E-80,0.20019218,0.12,0.001,7.88593E-76,Prefrontal cortex
AC007364.1,2.20014E-80,0.249247444,0.12,0.001,8.00497E-76,Prefrontal cortex
LINC01480,2.26706E-80,0.247154659,0.12,0.001,8.24846E-76,Prefrontal cortex
GPR65,2.38768E-80,0.364106032,0.205,0.006,8.68733E-76,Prefrontal cortex
LIPE-AS1,2.45061E-80,0.300164497,0.154,0.002,8.91632E-76,Prefrontal cortex
KCNQ1OT1,4.35605E-80,0.329635696,0.179,0.004,1.58491E-75,Prefrontal cortex
AC008014.1,1.20642E-79,0.340402476,0.171,0.003,4.38942E-75,Prefrontal cortex
AC044781.1,1.38791E-79,0.282633935,0.162,0.003,5.04977E-75,Prefrontal cortex
AC007388.1,1.66022E-79,0.234888232,0.103,0,6.04055E-75,Prefrontal cortex
AC068992.1,1.66022E-79,0.306944287,0.103,0,6.04055E-75,Prefrontal cortex
AL117336.3,1.66022E-79,0.20178543,0.103,0,6.04055E-75,Prefrontal cortex
BX255925.3,1.66022E-79,0.204164484,0.103,0,6.04055E-75,Prefrontal cortex
CDK16,1.66022E-79,0.203608319,0.103,0,6.04055E-75,Prefrontal cortex
CYREN,2.43172E-79,0.279358756,0.137,0.001,8.84758E-75,Prefrontal cortex
CLCN5,2.84216E-79,0.290083835,0.137,0.001,1.03409E-74,Prefrontal cortex
EIF2S3,3.40908E-79,0.2225511,0.137,0.001,1.24036E-74,Prefrontal cortex
AC005261.1,3.59084E-79,0.241297331,0.137,0.001,1.30649E-74,Prefrontal cortex
RIPOR1,3.59085E-79,0.210450576,0.137,0.001,1.30649E-74,Prefrontal cortex
SMIM35,3.59085E-79,0.271909244,0.137,0.001,1.30649E-74,Prefrontal cortex
MARF1,5.96036E-78,0.281987683,0.145,0.002,2.16862E-73,Prefrontal cortex
PVT1,7.58505E-78,0.285882285,0.145,0.002,2.75974E-73,Prefrontal cortex
PIM1,9.88621E-78,0.275727169,0.145,0.002,3.597E-73,Prefrontal cortex
CASTOR3,1.41047E-77,0.302390654,0.179,0.004,5.13187E-73,Prefrontal cortex
ZRSR2,2.5255E-77,0.272248365,0.128,0.001,9.18877E-73,Prefrontal cortex
RLIM,2.59453E-77,0.253367982,0.128,0.001,9.43995E-73,Prefrontal cortex
KHDC4,2.70164E-77,0.235577299,0.128,0.001,9.82963E-73,Prefrontal cortex
MBTPS2,2.77547E-77,0.250027759,0.128,0.001,1.00983E-72,Prefrontal cortex
OFD1,3.00928E-77,0.242885267,0.128,0.001,1.0949E-72,Prefrontal cortex
ADA2,3.21906E-77,0.278080469,0.128,0.001,1.17122E-72,Prefrontal cortex
MIR222HG,3.40422E-77,0.326660682,0.154,0.003,1.23859E-72,Prefrontal cortex
AC034195.1,3.64334E-77,0.329406785,0.154,0.003,1.32559E-72,Prefrontal cortex
NNT-AS1,4.04752E-77,0.209526718,0.128,0.001,1.47265E-72,Prefrontal cortex
NIPSNAP2,4.31698E-77,0.252654642,0.154,0.003,1.57069E-72,Prefrontal cortex
ODR4,4.36607E-77,0.280678002,0.154,0.003,1.58855E-72,Prefrontal cortex
AC012358.3,4.46593E-77,0.265953681,0.154,0.003,1.62489E-72,Prefrontal cortex
ZDHHC9,4.94424E-77,0.228280036,0.154,0.003,1.79891E-72,Prefrontal cortex
LRRC8C-DT,1.56975E-75,0.261906473,0.137,0.002,5.71138E-71,Prefrontal cortex
AC114763.1,1.82339E-75,0.220978151,0.12,0.001,6.63423E-71,Prefrontal cortex
C21orf62-AS1,1.84924E-75,0.204112006,0.12,0.001,6.72828E-71,Prefrontal cortex
AC104123.1,2.03597E-75,0.272799048,0.137,0.002,7.40768E-71,Prefrontal cortex
PIN4,2.0407E-75,0.229303699,0.12,0.001,7.4249E-71,Prefrontal cortex
DELE1,2.30421E-75,0.223523659,0.137,0.002,8.38365E-71,Prefrontal cortex
RMC1,2.57562E-75,0.237744689,0.137,0.002,9.37114E-71,Prefrontal cortex
TSC22D3,1.54707E-74,0.298249437,0.145,0.002,5.62885E-70,Prefrontal cortex
AP003481.1,3.18272E-74,0.402094585,0.188,0.005,1.158E-69,Prefrontal cortex
MID1IP1,4.0464E-74,0.212453076,0.111,0.001,1.47224E-69,Prefrontal cortex
NUP50-DT,4.36006E-74,0.249518873,0.154,0.003,1.58637E-69,Prefrontal cortex
ABRAXAS2,4.48943E-74,0.221470151,0.111,0.001,1.63343E-69,Prefrontal cortex
C1QA,1.4438E-73,0.760965829,0.427,0.042,5.25311E-69,Prefrontal cortex
C1QB,3.26897E-73,0.890896163,0.564,0.078,1.18938E-68,Prefrontal cortex
WDR13,3.57974E-73,0.22996855,0.103,0,1.30245E-68,Prefrontal cortex
FBH1,3.63539E-73,0.25317395,0.128,0.001,1.3227E-68,Prefrontal cortex
RBM10,3.92509E-73,0.241421106,0.128,0.001,1.42811E-68,Prefrontal cortex
BVES-AS1,3.99935E-73,0.219944364,0.103,0,1.45512E-68,Prefrontal cortex
KDM5D,4.34747E-73,0.230756463,0.128,0.001,1.58178E-68,Prefrontal cortex
AC110285.1,5.25677E-72,0.281103999,0.137,0.002,1.91262E-67,Prefrontal cortex
AP1S2,6.20303E-72,0.273982833,0.137,0.002,2.25691E-67,Prefrontal cortex
HPRT1,6.35141E-72,0.261771788,0.137,0.002,2.3109E-67,Prefrontal cortex
LINC00461,6.89917E-72,0.233428908,0.137,0.002,2.51019E-67,Prefrontal cortex
MMP24OS,9.06114E-72,0.297152486,0.162,0.004,3.29681E-67,Prefrontal cortex
VIRMA,2.33358E-71,0.27371147,0.154,0.003,8.4905E-67,Prefrontal cortex
PDK3,2.42113E-71,0.272411726,0.145,0.003,8.80905E-67,Prefrontal cortex
AC104806.2,4.02068E-71,0.255429288,0.12,0.001,1.46289E-66,Prefrontal cortex
RTRAF,4.47109E-71,0.200779108,0.12,0.001,1.62676E-66,Prefrontal cortex
MYDGF,4.59134E-71,0.244813947,0.12,0.001,1.67051E-66,Prefrontal cortex
LINC01268,5.03817E-71,0.215473958,0.12,0.001,1.83309E-66,Prefrontal cortex
LINC02062,5.17362E-71,0.228243273,0.12,0.001,1.88237E-66,Prefrontal cortex
LINC00667,5.4555E-71,0.210207062,0.12,0.001,1.98493E-66,Prefrontal cortex
JAK3,3.35045E-70,0.498151897,0.291,0.018,1.21903E-65,Prefrontal cortex
AC008691.1,6.22383E-70,0.472510955,0.197,0.007,2.26448E-65,Prefrontal cortex
HCG17,1.60846E-69,0.259262644,0.128,0.002,5.85221E-65,Prefrontal cortex
MAGED1,1.75126E-69,0.259001561,0.128,0.002,6.37178E-65,Prefrontal cortex
AF165147.1,1.86093E-69,0.236038247,0.128,0.002,6.77082E-65,Prefrontal cortex
TMEM164,2.12691E-69,0.251691235,0.128,0.002,7.73855E-65,Prefrontal cortex
TMLHE,2.22677E-69,0.299460568,0.162,0.004,8.10187E-65,Prefrontal cortex
AC025682.1,2.80784E-69,0.207392107,0.111,0.001,1.0216E-64,Prefrontal cortex
WWC3,3.36327E-69,0.213642407,0.111,0.001,1.22369E-64,Prefrontal cortex
APOOL,3.45794E-69,0.211429633,0.111,0.001,1.25814E-64,Prefrontal cortex
ZUP1,3.91792E-69,0.209596085,0.111,0.001,1.4255E-64,Prefrontal cortex
HIF1A-AS2,7.129E-69,0.325907558,0.154,0.003,2.59382E-64,Prefrontal cortex
KYAT3,1.40624E-68,0.215246126,0.137,0.002,5.11648E-64,Prefrontal cortex
SPIN3,1.05085E-67,0.218664296,0.103,0.001,3.82342E-63,Prefrontal cortex
BRCC3,1.08214E-67,0.207725664,0.103,0.001,3.93726E-63,Prefrontal cortex
AL445250.1,1.14753E-67,0.205503674,0.103,0.001,4.17516E-63,Prefrontal cortex
ATP5IF1,3.78514E-67,0.241291739,0.12,0.001,1.37719E-62,Prefrontal cortex
LINC01122,4.51188E-67,0.255423378,0.12,0.001,1.6416E-62,Prefrontal cortex
AFG1L,4.68486E-67,0.229093405,0.12,0.001,1.70454E-62,Prefrontal cortex
AC104986.2,4.74397E-67,0.216692257,0.12,0.001,1.72605E-62,Prefrontal cortex
MINDY3,4.98797E-67,0.201924828,0.12,0.001,1.81482E-62,Prefrontal cortex
MAF,6.51498E-67,0.767673345,0.496,0.063,2.37041E-62,Prefrontal cortex
TLR7,4.53668E-66,0.231002411,0.128,0.002,1.65063E-61,Prefrontal cortex
C10orf11,7.40116E-66,-1.964378707,0,0.93,2.69284E-61,Hippocampus
LINC01411,5.32156E-65,0.231280676,0.111,0.001,1.9362E-60,Prefrontal cortex
PHF8,5.83026E-65,0.222608504,0.111,0.001,2.12128E-60,Prefrontal cortex
CD14,3.24331E-63,0.751146648,0.41,0.046,1.18005E-58,Prefrontal cortex
TXNIP,3.54858E-63,0.753044108,0.487,0.064,1.29112E-58,Prefrontal cortex
AC233296.1,4.44971E-63,0.279385138,0.128,0.002,1.61898E-58,Prefrontal cortex
SNHG8,5.30772E-63,0.204319096,0.103,0.001,1.93116E-58,Prefrontal cortex
TENT5A,5.60585E-63,0.223227418,0.103,0.001,2.03963E-58,Prefrontal cortex
STX18-AS1,5.86514E-63,0.227591243,0.128,0.002,2.13397E-58,Prefrontal cortex
CATSPERE,6.25305E-63,0.207351724,0.103,0.001,2.27511E-58,Prefrontal cortex
LINC00662,6.25305E-63,0.201945576,0.103,0.001,2.27511E-58,Prefrontal cortex
AC090579.1,6.47784E-63,0.229623582,0.128,0.002,2.3569E-58,Prefrontal cortex
UGDH-AS1,6.55514E-63,0.229157254,0.137,0.003,2.38502E-58,Prefrontal cortex
HLA-DRB1,3.84256E-62,0.621914784,0.35,0.033,1.39808E-57,Prefrontal cortex
AC009093.2,3.37748E-61,0.202140512,0.111,0.001,1.22886E-56,Prefrontal cortex
C22orf34,3.42799E-61,0.301843129,0.145,0.004,1.24724E-56,Prefrontal cortex
AL591895.1,4.37179E-61,0.202431289,0.111,0.001,1.59063E-56,Prefrontal cortex
HLA-A,1.22732E-60,0.551842469,0.359,0.035,4.46549E-56,Prefrontal cortex
AC016597.1,2.74971E-60,0.202916693,0.12,0.002,1.00046E-55,Prefrontal cortex
AC090630.1,2.8518E-60,0.300451152,0.128,0.003,1.0376E-55,Prefrontal cortex
LINC01266,3.48573E-60,0.210020886,0.12,0.002,1.26825E-55,Prefrontal cortex
ZNF75D,3.79338E-60,0.23275398,0.128,0.003,1.38018E-55,Prefrontal cortex
RPS19,1.18801E-59,0.78460712,0.538,0.083,4.32246E-55,Prefrontal cortex
ZNF630,7.29335E-59,0.207998768,0.103,0.001,2.65361E-54,Prefrontal cortex
HDX,7.6758E-59,0.209391257,0.103,0.001,2.79276E-54,Prefrontal cortex
COQ8A,7.77449E-59,0.201447171,0.103,0.001,2.82867E-54,Prefrontal cortex
CKMT2-AS1,9.04164E-58,0.205697583,0.111,0.002,3.28971E-53,Prefrontal cortex
CEBPA,9.50833E-58,0.299485281,0.162,0.006,3.45951E-53,Prefrontal cortex
SLC8A1-AS1,1.22285E-57,0.207001843,0.111,0.002,4.44921E-53,Prefrontal cortex
HDGFL3,2.01214E-57,0.224555384,0.12,0.002,7.32097E-53,Prefrontal cortex
KNOP1,2.16967E-57,0.242500993,0.12,0.002,7.89411E-53,Prefrontal cortex
KIF9-AS1,2.28965E-57,0.219483966,0.12,0.002,8.33065E-53,Prefrontal cortex
RPL3,1.02677E-56,0.469879052,0.222,0.013,3.7358E-52,Prefrontal cortex
LINC01376,3.11511E-55,0.206284078,0.103,0.001,1.1334E-50,Prefrontal cortex
ARHGEF9,3.13947E-55,0.218757653,0.128,0.003,1.14227E-50,Prefrontal cortex
AC008050.1,3.39319E-55,0.270313558,0.128,0.003,1.23458E-50,Prefrontal cortex
RPL18,7.84423E-55,0.492010495,0.274,0.022,2.85405E-50,Prefrontal cortex
NIFK-AS1,1.13625E-54,0.228334002,0.111,0.002,4.13413E-50,Prefrontal cortex
TTTY14,6.247E-54,0.269409119,0.137,0.004,2.27291E-49,Prefrontal cortex
HLA-DRA,7.02331E-53,0.711160109,0.453,0.067,2.55536E-48,Prefrontal cortex
AC008591.1,5.88797E-52,0.247763704,0.103,0.002,2.14228E-47,Prefrontal cortex
AC092683.1,8.37556E-52,0.214374005,0.111,0.002,3.04736E-47,Prefrontal cortex
DLG2,1.45948E-51,-0.407982745,0.915,0.988,5.31017E-47,Hippocampus
ZFP36L1,4.29587E-51,0.900576093,0.65,0.147,1.56301E-46,Prefrontal cortex
PCDH9,1.44494E-50,-0.352724796,0.983,0.999,5.25726E-46,Hippocampus
GRIA3,2.48533E-49,0.21472546,0.111,0.003,9.04264E-45,Prefrontal cortex
LAIR1,4.47502E-49,0.509114916,0.35,0.041,1.62819E-44,Prefrontal cortex
AL589740.1,5.27708E-49,0.220794365,0.103,0.002,1.92001E-44,Prefrontal cortex
C3,8.10063E-49,0.894306328,0.778,0.22,2.94733E-44,Prefrontal cortex
RPL7A,8.40441E-49,0.405446689,0.231,0.017,3.05786E-44,Prefrontal cortex
APOC1,8.89778E-49,0.490943748,0.239,0.019,3.23737E-44,Prefrontal cortex
APOE,1.1438E-48,0.997147702,0.726,0.222,4.16162E-44,Prefrontal cortex
TMEM173,1.93042E-48,0.210576625,0.145,0.006,7.02365E-44,Prefrontal cortex
CORO1A,2.22623E-48,0.430572387,0.299,0.03,8.09992E-44,Prefrontal cortex
RPS28,3.77858E-48,0.374214468,0.205,0.014,1.3748E-43,Prefrontal cortex
TMEM176B,4.99474E-48,0.361919983,0.222,0.016,1.81729E-43,Prefrontal cortex
CYBA,6.04141E-48,0.679024911,0.453,0.072,2.19811E-43,Prefrontal cortex
IFI16,2.16859E-47,0.815984034,0.641,0.149,7.89018E-43,Prefrontal cortex
AC090502.1,2.45965E-47,0.239897966,0.128,0.004,8.9492E-43,Prefrontal cortex
PPP2R2B,4.35075E-47,-0.594146135,0.812,0.986,1.58298E-42,Hippocampus
LGALS9,4.49386E-47,0.520668006,0.342,0.041,1.63504E-42,Prefrontal cortex
FES,5.91003E-47,0.227258891,0.145,0.006,2.1503E-42,Prefrontal cortex
RPL8,7.30103E-47,0.514142376,0.342,0.041,2.65641E-42,Prefrontal cortex
FRG1-DT,1.91735E-46,0.203061295,0.103,0.002,6.9761E-42,Prefrontal cortex
FAM129A,2.33162E-46,0.585257217,0.359,0.046,8.48338E-42,Prefrontal cortex
LPAR6,3.00205E-46,0.764565561,0.521,0.101,1.09227E-41,Prefrontal cortex
RBFOX1,1.7149E-45,-1.280206405,0.179,0.848,6.2395E-41,Hippocampus
NPC2,1.98331E-45,0.451447962,0.308,0.034,7.21606E-41,Prefrontal cortex
HSPA1B,4.59359E-45,0.542592545,0.299,0.033,1.67133E-40,Prefrontal cortex
CD300A,2.13388E-44,0.433729833,0.299,0.033,7.76391E-40,Prefrontal cortex
AZIN1-AS1,3.47701E-44,0.225711142,0.12,0.004,1.26507E-39,Prefrontal cortex
TREM2,6.70707E-44,0.323423779,0.222,0.018,2.4403E-39,Prefrontal cortex
UBA52,7.68046E-44,0.545629008,0.359,0.049,2.79446E-39,Prefrontal cortex
CD68,9.48643E-44,0.317811815,0.171,0.01,3.45154E-39,Prefrontal cortex
RPS15,1.19727E-43,0.561324934,0.385,0.055,4.35614E-39,Prefrontal cortex
IRF8,8.45719E-43,0.463005231,0.274,0.029,3.07706E-38,Prefrontal cortex
LRP1B,1.575E-42,-0.97462486,0.402,0.891,5.73049E-38,Hippocampus
AIF1,1.63058E-42,0.321696399,0.188,0.013,5.9327E-38,Prefrontal cortex
HCST,4.4827E-42,0.261386085,0.145,0.007,1.63098E-37,Prefrontal cortex
KCNIP4,5.82396E-42,-1.035032395,0.359,0.87,2.11899E-37,Hippocampus
CCND1,2.56252E-41,0.29311157,0.145,0.008,9.32348E-37,Prefrontal cortex
AC092691.1,4.422E-41,0.219288654,0.111,0.004,1.6089E-36,Prefrontal cortex
PARP9,7.04724E-41,0.417297566,0.274,0.03,2.56407E-36,Prefrontal cortex
TMSB10,1.02512E-40,0.742317841,0.547,0.119,3.72981E-36,Prefrontal cortex
LINGO1,1.0935E-40,0.708613981,0.487,0.095,3.97858E-36,Prefrontal cortex
RPS14,1.14079E-40,0.458382296,0.274,0.031,4.15067E-36,Prefrontal cortex
CD81,1.21404E-40,0.763292868,0.573,0.137,4.41718E-36,Prefrontal cortex
RPL28,1.67813E-40,0.537287448,0.308,0.04,6.10569E-36,Prefrontal cortex
NINJ1,1.68054E-40,0.367141685,0.231,0.021,6.11446E-36,Prefrontal cortex
LMO2,1.71128E-40,0.378481366,0.239,0.023,6.22632E-36,Prefrontal cortex
RPL13,1.76471E-40,0.681949809,0.53,0.111,6.42074E-36,Prefrontal cortex
RPS24,3.3177E-40,0.552964931,0.299,0.038,1.20711E-35,Prefrontal cortex
LRRK2,6.28369E-40,0.549580929,0.385,0.06,2.28626E-35,Prefrontal cortex
ADGRB3,2.63292E-39,-0.753448903,0.556,0.911,9.57962E-35,Hippocampus
GAS6,2.75009E-39,0.534103779,0.342,0.049,1.00059E-34,Prefrontal cortex
LILRB1,3.02632E-39,0.314157989,0.205,0.017,1.1011E-34,Prefrontal cortex
RPL13A,4.05009E-39,0.447844564,0.282,0.034,1.47359E-34,Prefrontal cortex
ZBTB16,5.49409E-39,-0.863963249,0.462,0.873,1.99897E-34,Hippocampus
CASP1,1.2717E-38,0.232322187,0.128,0.006,4.62696E-34,Prefrontal cortex
RASGEF1B,1.35211E-38,0.804949067,0.607,0.16,4.91952E-34,Prefrontal cortex
S100A11,1.84733E-38,0.378724039,0.231,0.023,6.72132E-34,Prefrontal cortex
BLNK,2.56127E-38,0.66978884,0.487,0.1,9.31893E-34,Prefrontal cortex
SAP25,5.3835E-38,0.463690958,0.265,0.031,1.95873E-33,Prefrontal cortex
NKAIN2,5.94253E-38,-0.689416178,0.624,0.942,2.16213E-33,Hippocampus
MAGI2,1.66213E-37,-0.424422459,0.872,0.977,6.04749E-33,Hippocampus
TMEM119,2.46846E-37,0.388973326,0.231,0.024,8.98125E-33,Prefrontal cortex
FTL,2.86617E-37,0.893108851,0.726,0.268,1.04283E-32,Prefrontal cortex
CYTH4,4.88291E-37,0.434515597,0.316,0.044,1.7766E-32,Prefrontal cortex
LAT2,9.85137E-37,0.52883349,0.376,0.062,3.58432E-32,Prefrontal cortex
PARK2,1.01766E-36,-1.32379438,0,0.672,3.70265E-32,Hippocampus
MMP14,1.23727E-36,0.216825263,0.111,0.005,4.50167E-32,Prefrontal cortex
CD4,1.49432E-36,0.4620048,0.342,0.051,5.43692E-32,Prefrontal cortex
RPS18,1.81596E-36,0.320848065,0.145,0.009,6.60719E-32,Prefrontal cortex
CTSH,2.18386E-36,0.425937076,0.274,0.034,7.94575E-32,Prefrontal cortex
TRMT1,9.68354E-36,0.45338579,0.265,0.033,3.52326E-31,Prefrontal cortex
MGAT4A,1.04371E-35,0.767851846,0.838,0.344,3.79743E-31,Prefrontal cortex
RP11-654K19.6,9.32562E-35,-1.343632306,0,0.65,3.39303E-30,Hippocampus
LSAMP,9.48843E-35,-0.782766788,0.496,0.914,3.45227E-30,Hippocampus
PYCARD,1.41152E-34,0.213556967,0.12,0.006,5.13567E-30,Prefrontal cortex
TRIM25,1.88473E-34,0.231975807,0.145,0.01,6.8574E-30,Prefrontal cortex
CTNNA3,2.69076E-34,-0.412844632,0.872,0.981,9.79006E-30,Hippocampus
FYB1,8.76839E-34,0.775251762,0.829,0.349,3.19029E-29,Prefrontal cortex
PTPRD,1.09695E-33,-0.427510162,0.821,0.953,3.99114E-29,Hippocampus
GSDMD,2.32157E-33,0.306437325,0.197,0.019,8.4468E-29,Prefrontal cortex
C1orf56,5.17378E-33,0.317655718,0.205,0.021,1.88243E-28,Prefrontal cortex
TRABD,5.24973E-33,0.465213955,0.325,0.052,1.91006E-28,Prefrontal cortex
FAM155A,8.32639E-33,-1.165156967,0.077,0.69,3.02948E-28,Hippocampus
CD74,1.0016E-32,0.79945818,0.752,0.309,3.64422E-28,Prefrontal cortex
CASP4,1.25842E-32,0.300068975,0.171,0.015,4.57864E-28,Prefrontal cortex
FCER1G,1.29872E-32,0.261369603,0.179,0.016,4.72525E-28,Prefrontal cortex
CTSC,1.64425E-32,0.53425213,0.376,0.069,5.98242E-28,Prefrontal cortex
PIK3CD,1.86745E-32,0.408026727,0.291,0.042,6.79453E-28,Prefrontal cortex
FAU,4.4353E-32,0.451540122,0.282,0.041,1.61374E-27,Prefrontal cortex
DPP7,7.91837E-32,0.468703167,0.359,0.064,2.88102E-27,Prefrontal cortex
IL10RA,8.90389E-32,0.45494054,0.35,0.061,3.23959E-27,Prefrontal cortex
CSMD1,1.04696E-31,-0.967151545,0.265,0.752,3.80926E-27,Hippocampus
RPL11,1.52374E-31,0.409867103,0.239,0.03,5.54398E-27,Prefrontal cortex
NRXN1,2.58759E-31,-1.058668589,0.171,0.722,9.4147E-27,Hippocampus
HLA-B,2.66221E-31,0.452176425,0.308,0.049,9.68619E-27,Prefrontal cortex
TLR1,4.27429E-31,0.554681575,0.427,0.092,1.55516E-26,Prefrontal cortex
NRG3,6.37916E-31,-1.051454801,0.162,0.727,2.32099E-26,Hippocampus
POU2F2,8.66156E-31,0.547953469,0.427,0.091,3.15142E-26,Prefrontal cortex
CMTM3,1.45235E-30,0.202777064,0.12,0.007,5.28424E-26,Prefrontal cortex
NCAM2,3.02941E-30,-0.445638535,0.829,0.962,1.10222E-25,Hippocampus
LRP1,3.28087E-30,0.497136316,0.393,0.079,1.19371E-25,Prefrontal cortex
CADM2,3.6018E-30,-0.368868028,0.915,0.967,1.31048E-25,Hippocampus
TCIRG1,6.19329E-30,0.298181486,0.171,0.016,2.25337E-25,Prefrontal cortex
ACTB,6.54013E-30,0.732214117,0.795,0.333,2.37956E-25,Prefrontal cortex
ROBO2,7.78657E-30,-1.088034812,0.085,0.657,2.83307E-25,Hippocampus
RPL27,7.84553E-30,0.286817242,0.179,0.018,2.85452E-25,Prefrontal cortex
EIF3G,1.17721E-29,0.21193079,0.12,0.008,4.28317E-25,Prefrontal cortex
HLA-DQB1,1.23014E-29,0.30274974,0.179,0.018,4.47575E-25,Prefrontal cortex
SPOCK1,1.74238E-29,-0.609207846,0.624,0.886,6.33948E-25,Hippocampus
HLA-DMB,2.89349E-29,0.391691564,0.231,0.031,1.05277E-24,Prefrontal cortex
RPSA,2.96435E-29,0.392406717,0.265,0.04,1.07855E-24,Prefrontal cortex
MAP3K1,8.71377E-29,0.477122938,0.376,0.076,3.17042E-24,Prefrontal cortex
